provinceName,currentConfirmedCount,confirmedCount,curedCount,deadCount,lastUpdate,date
陕西省,5,5,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
福建省,10,10,0,0,2020-01-24 17:39:15.611,2020-01-24 00:00:00.000
山东省,15,15,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
吉林省,3,3,0,0,2020-01-24 10:33:03.715,2020-01-24 00:00:00.000
内蒙古自治区,2,2,0,0,2020-01-24 13:04:21.168,2020-01-24 00:00:00.000
香港,2,2,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
台湾,1,1,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
上海市,19,20,1,0,2020-01-24 20:48:20.035,2020-01-24 00:00:00.000
北京市,35,36,1,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
广东省,51,53,2,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
天津市,8,8,0,0,2020-01-24 21:58:06.785,2020-01-24 00:00:00.000
辽宁省,4,4,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
黑龙江省,3,4,0,1,2020-01-24 16:58:08.245,2020-01-24 00:00:00.000
澳门,2,2,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
山西省,1,1,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
内蒙古自治区,2,2,0,0,2020-01-24 13:04:21.168,2020-01-24 00:00:00.000
江苏省,9,9,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
湖北省,494,549,31,24,2020-01-24 17:30:09.978,2020-01-24 00:00:00.000
河北省,1,2,0,1,2020-01-24 17:18:21.875,2020-01-24 00:00:00.000
云南省,5,5,0,0,2020-01-24 23:55:14.973,2020-01-24 00:00:00.000
浙江省,42,43,1,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
安徽省,15,15,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
四川省,15,15,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
重庆市,27,27,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
贵州省,3,3,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
湖南省,24,24,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
甘肃省,2,2,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
河南省,9,9,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
江西省,7,7,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
广西壮族自治区,13,13,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
海南省,8,8,0,0,2020-01-24 23:35:03.158,2020-01-24 00:00:00.000
宁夏回族自治区,2,2,0,0,2020-01-24 13:07:23.149,2020-01-24 00:00:00.000
新疆维吾尔自治区,2,2,0,0,2020-01-24 03:50:31.353,2020-01-24 00:00:00.000
青海省,0,0,0,0,2020-01-24 18:10:34.503,2020-01-24 00:00:00.000
陕西省,15,15,0,0,2020-01-25 23:41:25.783,2020-01-25 00:00:00.000
福建省,18,18,0,0,2020-01-25 16:19:44.090,2020-01-25 00:00:00.000
山东省,27,27,0,0,2020-01-25 15:15:01.322,2020-01-25 00:00:00.000
吉林省,4,4,0,0,2020-01-25 11:26:40.984,2020-01-25 00:00:00.000
内蒙古自治区,7,7,0,0,2020-01-25 22:04:50.153,2020-01-25 00:00:00.000
香港,5,5,0,0,2020-01-25 09:54:48.011,2020-01-25 00:00:00.000
台湾,3,3,0,0,2020-01-25 00:05:20.649,2020-01-25 00:00:00.000
